CTV Genres	Content 3.1 Unique ID	Content 3.1 Mapping
Action	325	Action/Adventure
Adventure	325	Action/Adventure
Animals	422	Pets
Animation	641	Animation & Anime
Anime	641	Animation & Anime
Arts	201	Fine Art
Automotive	1	Automotive
Awards	162	Awards Shows
Biography	44	Biographies
Business & Finance	52	Business and Finance
Children	645	Family/Children
Comedy	646	Comedy
Cooking	216	Cooking
Crime	KHPC5A	True Crime
Documentary	332	Documentary
Drama	647	Drama
Education	132	Education
Family	645	Family/Children
Fantasy	335	Fantasy
Game Show	JLBCU7	Entertainment
Gaming	680	Video Gaming
History	EZWB7V	History
Hobbies	239	Hobbies & Interests
Holidays	649	Holiday
Home & Garden	274	Home & Garden
Horror	336	Horror
Law	383	Law
Mystery	331	Mystery
News	1020	News
Outdoors	159	Outdoor Activities
Paranormal	244	Parnormal Phenomenons
Politics	386	Politics
Reality	651	Reality TV
Religion	453	Religion & Spirituality
Romance	326	Romance
Sci-Fi	652	Science Fiction
Sitcom	646	Comedy
Soap-Opera	642	Soap Opera
Sports	483	Sports
Thriller	700	Thriller
War	389	War and Conflicts
Weather	390	Weather
Western	KHPC6A	Western
Young Adult	51	Young Adult
		
		
		
